seq,host_read_s,valid,theta_down_rad,theta_upright_rad,omega_rad_s,pivot_px,tip_px,processing_ms
198,759654.750679458,False,,,,,,0.01325004268437624
199,759654.785010583,False,,,,,,0.012125005014240742
200,759654.818939208,False,,,,,,0.016415957361459732
201,759654.856956125,False,,,,,,0.025541987270116806
202,759654.8865205,False,,,,,,0.020958948880434036
203,759654.918494,False,,,,,,0.040958053432404995
204,759654.949514375,False,,,,,,0.01591700129210949
205,759654.980696666,False,,,,,,0.010040937922894955
206,759655.016317625,False,,,,,,0.012958073057234287
207,759655.048479583,False,,,,,,0.013292068615555763
208,759655.083604958,False,,,,,,0.01025001984089613
209,759655.115480291,False,,,,,,0.014499993994832039
210,759655.149148833,False,,,,,,0.019124941900372505
211,759655.182647,False,,,,,,0.034708064049482346
212,759655.21669275,False,,,,,,0.01895800232887268
213,759655.25032625,False,,,,,,0.018708989955484867
214,759655.283743083,False,,,,,,0.03783300053328276
215,759655.316724583,False,,,,,,0.013875076547265053
216,759655.348934208,False,,,,,,0.020124949514865875
217,759655.382529208,False,,,,,,0.011709053069353104
218,759655.417245583,False,,,,,,0.025290995836257935
219,759655.450651958,False,,,,,,0.01991703175008297
220,759655.482832,False,,,,,,0.02229108940809965
221,759655.516261291,False,,,,,,0.01737498678267002
222,759655.549791625,False,,,,,,0.014542019926011562
223,759655.584298791,False,,,,,,0.01525005791336298
224,759655.616601083,False,,,,,,0.01083302777260542
225,759655.65364075,False,,,,,,0.013416050933301449
226,759655.684777333,False,,,,,,0.020416919142007828
227,759655.717357125,False,,,,,,0.012082979083061218
228,759655.754726833,False,,,,,,0.020000035874545574
229,759655.787600541,False,,,,,,0.02091703936457634
230,759655.821732291,False,,,,,,0.025000073947012424
231,759655.852695875,False,,,,,,0.020249979570508003
232,759655.887399375,False,,,,,,0.018291990272700787
233,759655.923318333,False,,,,,,0.02304196823388338
234,759655.953702333,False,,,,,,0.023374916054308414
235,759655.986214583,False,,,,,,0.021249987185001373
236,759656.019802125,False,,,,,,0.01908303238451481
237,759656.050355,False,,,,,,0.010999967344105244
238,759656.083077291,False,,,,,,0.009541981853544712
239,759656.117909333,False,,,,,,0.013249926269054413
240,759656.151029375,False,,,,,,0.013208948075771332
241,759656.184797416,False,,,,,,0.02079096157103777
242,759656.219114958,False,,,,,,0.014375080354511738
243,759656.253746291,False,,,,,,0.024250010028481483
244,759656.284795916,False,,,,,,0.01708301715552807
245,759656.320161291,False,,,,,,0.02020795363932848
246,759656.352060416,False,,,,,,0.016749952919781208
247,759656.387920708,False,,,,,,0.02187490463256836
248,759656.421328875,False,,,,,,0.01958396751433611
249,759656.453610958,False,,,,,,0.021792016923427582
250,759656.486243625,False,,,,,,0.017375103197991848
251,759656.518144666,False,,,,,,0.0213750172406435
252,759656.552073,False,,,,,,0.02679100725799799
253,759656.588956708,False,,,,,,0.020292005501687527
254,759656.622801833,False,,,,,,0.023000058718025684
255,759656.657412916,False,,,,,,0.017709098756313324
256,759656.690854541,False,,,,,,0.016292091459035873
257,759656.725632416,False,,,,,,0.023416941985487938
258,759656.758893541,False,,,,,,0.02420798409730196
259,759656.792566541,False,,,,,,0.02354104071855545
