t,theta,omega,thetaHat,x,pulseX,v,actualV,a,actualA,request,jerk,hz,mode,braking
42.12,0.0006925979075884558,-0.013568506914593185,0.0010567660788548708,-0.0013151326089058059,-0.001387499998266004,0.0026753221285351035,0.0026753221285351035,0.025227141692597682,0.02522714169259782,0.025227141692597682,-15.622603740207692,71.34192351678017,balance,false
42.13,0.0005639930564381605,-0.011440121773722296,0.00017769474060565235,-0.0012891911545241518,-0.0013499999983128791,0.002392517722873059,0.002392517722873059,-0.055196011554877425,-0.05519601155487726,-0.055196011554877425,-3.6164457493562256,63.800472689698836,balance,false
42.14,0.0004702042549077455,-0.0072598967812010085,-0.00010289285964277475,-0.00126838981174175,-0.0013124999983597542,0.0017561759540277188,0.0017561759540277188,-0.06482999525306747,-0.06482999525306743,-0.06482999525306747,0.4863963765689844,46.831358832611706,balance,false
42.15,0.0004174865248642818,-0.003416614753909802,-0.00015607668827290476,-0.0012538837270479441,-0.0013124999983597542,0.0011657957338626372,0.0011657957338626372,-0.052962190994881905,-0.05296219099488195,-0.052962190994881905,1.4955947194310524,31.08788627519685,balance,false
42.160000000000004,0.0003987805310591374,-0.0004783382929591363,-0.00013503163197668515,-0.0012445803107105425,-0.0013124999983597542,0.0007197465414756396,0.0007197465414756396,-0.03792356780828332,-0.037923567808283286,-0.03792356780828332,1.4298682638673386,19.19324113000861,balance,false
42.17,0.0004050664290957892,0.001612259625517971,-0.00009850958324260119,-0.0012390230315785088,-0.0013124999983597542,0.0004120153518819752,0.0004120153518819752,-0.025451397904384068,-0.025451397904384093,-0.025451397904384068,1.0855303669036058,10.98707606391985,balance,false
42.18,0.00042891104044617075,0.0030710248692458098,-0.00006608401383092055,-0.0012359881598197236,-0.0013124999983597542,0.00020938516533634658,0.00020938516533634658,-0.016527823715690282,-0.01652782371569029,-0.016527823715690282,0.7435650866961935,5.583604415948748,balance,false
42.19,0.0004650798724364044,0.004107792172245017,-0.000042167187435676495,-0.0012345948261588123,-0.0012749999984066293,0.00007886812987766258,0.00007886812987766258,-0.010582483258850658,-0.010582483258850662,-0.010582483258850658,0.4802287015944935,2.1031501326999402,balance,false
42.2,0.0005101964481192866,0.004883225512241326,-0.000026024995326987032,-0.001234255089461118,-0.0012749999984066293,-0.000004914464300070118,-0.000004914464300070118,-0.006841663018657152,-0.006841663018657152,-0.006841663018657152,0.29831593116421123,0.13105238149901863,balance,false
42.21,0.0005622512590640755,0.00551032825732377,-0.0000156850680409578,-0.0012345969594543206,-0.0012749999984066293,-0.00005979183300386015,-0.00005979183300386015,-0.004552806027985609,-0.004552806027985607,-0.004552806027985609,0.18010503893267377,1.5944488820959986,balance,false
42.22,0.0006201539796645929,0.0060623828076811085,-0.00000928635588568617,-0.0012353929316289702,-0.0012749999984066293,-0.00009721851167831153,-0.00009721851167831153,-0.0031875996499823914,-0.0031875996499823875,-0.0031875996499823914,0.1062229482750119,2.592493647995591,balance,false
42.230000000000004,0.0006834051918644856,0.006586074568520449,-0.000005422353485615846,-0.001236507159528065,-0.0012749999984066293,-0.00012435511643196946,-0.00012435511643196946,-0.0023913502217282226,-0.00239135022172823,-0.0023913502217282226,0.06127561816252286,3.316136442331023,balance,false
42.24,0.0007518796301264636,0.00711084974186805,-0.000003131248076140073,-0.0012378603461741427,-0.0012749999984066293,-0.00014555861132664805,-0.00014555861132664805,-0.0019376205992583614,-0.001937620599258349,-0.0019376205992583614,0.034464115704890656,3.8815629735625685,balance,false
42.25,0.0008208687999796277,0.005563009090562843,0.0009109869548775621,-0.001238607831128194,-0.0012749999984066293,0.00018369087528211623,0.00018369087528211623,0.08772514623596947,0.08772514623596946,0.08772514623596947,10.348531374285042,4.898423346979462,balance,false
42.26,0.0008448792024565388,-0.0011334396055862526,0.0015724537503375188,-0.0012311316187840894,-0.0012749999984066293,0.0013744563629410386,0.0013744563629410386,0.13170449457016487,0.13170449457016484,0.13170449457016487,1.0238221586222618,36.65216972424291,balance,false
42.27,0.000796592124468897,-0.008424701576922863,0.0017443441165090946,-0.0012108396483776233,-0.0012749999984066293,0.0026675020243691902,0.0026675020243691902,0.12357885836928166,0.12357885836928152,0.12357885836928166,-1.737999415545574,71.13338740542848,balance,false
42.28,0.0006846389532681013,-0.012639626617557867,0.0008305689716644035,-0.0011791623950404956,-0.0012374999984535043,0.003446712708466784,0.003446712708466784,0.013877208195782902,0.01387720819578291,0.013877208195782902,-12.407376462125603,91.912339007338,balance,false
42.29,0.0005660436575917655,-0.010529087262303638,0.00012188864376246675,-0.0011456321417113674,-0.0011999999985003794,0.003165912430765512,0.003165912430765512,-0.048770561183387684,-0.04877056118338758,-0.048770561183387684,-2.6920811686429387,84.42433159261074,balance,false
42.300000000000004,0.0004787502092552798,-0.006904726319571673,-0.00009944365927651107,-0.0011166635334627095,-0.0011624999985472544,0.002621851972510177,0.002621851972510177,-0.05449168715661336,-0.05449168715661355,-0.05449168715661336,0.5753841660777193,69.91605268766646,balance,false
42.31,0.0004265139003486551,-0.00366589219124191,-0.00013722988441558295,-0.0010929876888942033,-0.0011249999985941295,0.0021325538900422466,0.0021325538900422466,-0.04337932158558717,-0.04337932158558722,-0.04337932158558717,1.3371286569477947,56.86810380554504,balance,false
42.32,0.0004026549340140217,-0.0012411455238583245,-0.00011627472899422468,-0.0010735704654410692,-0.0011249999985941295,0.0017726538594479292,0.0017726538594479292,-0.030158635628176677,-0.030158635628176576,-0.030158635628176677,1.2409909963436474,47.270769644366574,balance,false
42.33,0.0003992011753331264,0.0004433639471172092,-0.00008405200914226693,-0.001057130566728885,-0.0010874999986410045,0.0015328272485811564,0.0015328272485811564,-0.019401311334130623,-0.01940131133413062,-0.019401311334130623,0.9324121155563463,40.87539334659175,balance,false
42.34,0.0004096799529816755,0.0015781247427289094,-0.00005609560459165137,-0.0010426102428825954,-0.0010874999986410045,0.0013835959030062967,0.0013835959030062967,-0.011724672284848662,-0.011724672284848733,-0.011724672284848662,0.6362189451102825,36.89589079295445,balance,false
42.35,0.00042954118500642937,0.002346432708533454,-0.000035675787274325626,-0.0010292529641917755,-0.0010874999986410045,0.0012960058639491325,0.0012960058639491325,-0.006664766067031983,-0.006664766067032051,-0.006664766067031983,0.4108644854356452,34.56015641517706,balance,false
42.36,0.00045584562804398685,0.0028853485911423202,-0.000021968108213564832,-0.0010165574310251684,-0.0010499999986878796,0.0012482968535872,0.0012482968535872,-0.0034290794652849827,-0.0034290794652849354,-0.0034290794652849827,0.2562972017826513,33.28791613726856,balance,false
42.37,0.0004867943699544422,0.0032880830294338167,-0.000013217671609606921,-0.0010042034142094453,-0.0010499999986878796,0.0012256730551724942,0.0012256730551724942,-0.001454052084975743,-0.0014540520849757807,-0.001454052084975743,0.15624347692713528,32.68461484545561,balance,false
42.38,0.0005213634090424735,0.0036173738918256356,-0.000007815407823262552,-0.0009919936018520587,-0.0010499999986878796,0.0012182026000605282,0.0012182026000605282,-0.0002594984143864786,-0.00025949841438643526,-0.0002594984143864786,0.0939068295191677,32.485402708887506,balance,false
42.39,0.0005590263497625218,0.00391166409601839,-0.00000455878855845487,-0.0009798090778982396,-0.0010124999987347547,0.0012198738840938051,0.0012198738840938051,0.0004855445366522275,0.0004855445366522531,0.0004855445366522275,0.08593888795082813,32.529970283163934,balance,false
42.4,0.0005995535482018544,0.004193450908809559,-0.0000026303804369343858,-0.0009675768184523556,-0.0010124999987347547,0.0012272631611577717,0.0012272631611577717,0.0009135355678671195,0.000913535567867137,0.0009135355678671195,0.03365482846368409,32.72701767178269,balance,false
42.410000000000004,0.0006429087680765157,0.0044791813225709765,-0.0000015042228771478227,-0.0009552529506595272,-0.0010124999987347547,0.0012379241937544086,0.0012379241937544086,0.0011718034591797176,0.001171803459179728,0.0011718034591797176,0.020488497974870037,33.01131187471504,balance,false
42.42,0.0006891815646989703,0.004778033846715127,-8.538303552050828e-7,-0.0009428116922953614,-0.0009749999987816297,0.0012506105003154656,0.0012506105003154656,0.0013612331119977471,0.0013612331119976576,0.0013612331119977471,0.04273080932927129,33.34961338343277,balance,false
42.43,0.0007385270170403042,0.005094705680428454,-4.816049769828039e-7,-0.0009302353403269246,-0.0009749999987816297,0.00126482651775346,0.00126482651775346,0.0014646970276070267,0.0014646970276069229,0.0014646970276070267,0.008594534083210606,33.72870718225315,balance,false
42.44,0.0007894733587816142,0.004358183469944789,0.0006677547478736872,-0.000917233491439399,-0.0009749999987816297,0.0014585107336957026,0.0014585107336957026,0.06869793265804551,0.06869793265804557,0.06869793265804551,13.68350147310171,38.89361961383576,balance,false
42.45,0.0008042289447843351,-0.0019629657514579593,0.0014958736828929056,-0.0008974859542439608,-0.0009374999988285048,0.0025841148898881417,0.0025841148898881417,0.13231484731103874,0.13231484731103874,0.13231484731103874,2.1555766857315195,68.90973048315428,balance,false
42.46,0.0007467355981914671,-0.0092003868031442,0.0013633689848871918,-0.000864964760242019,-0.0008999999988753798,0.0038644215847109392,0.0038644215847109392,0.09225483587019716,0.09225483587019723,0.09225483587019716,-19.190682823518546,103.05124238777243,balance,false
42.47,0.0006452654096820241,-0.010117633482833921,0.0003536828747706995,-0.0008243677793538622,-0.0008624999989222549,0.004091588732693472,0.004091588732693472,-0.015057699018780422,-0.015057699018780103,-0.015057699018780422,-5.683889430190164,109.10903300821222,balance,false
42.480000000000004,0.0005548557824272888,-0.007757053977664569,-0.0000026863951060144284,-0.0007849045124703725,-0.0008249999989691299,0.003764961050623162,0.003764961050623162,-0.04006441109600849,-0.040064411096008605,-0.04006441109600849,-0.6898124017383974,100.3989614754497,balance,false
42.49,0.0004911061434784146,-0.005042759818036908,-0.00009940502995525285,-0.000749262683022408,-0.000787499999016005,0.003370330226342384,0.003370330226342384,-0.036869715946445114,-0.03686971594644506,-0.036869715946445114,0.8330228088452087,89.87547281480792,balance,false
42.5,0.0004521680009148893,-0.0028534183133821426,-0.00010316581846887185,-0.0007172162342723027,-0.0007499999990628801,0.003056076084999448,0.003056076084999448,-0.026677346550358094,-0.02667734655035798,-0.026677346550358094,1.0905765667944753,81.49536236852116,balance,false
42.51,0.0004318538538634915,-0.0013090288187019917,-0.00008068104332261868,-0.0006877926956374704,-0.0007499999990628801,0.0028446439192286806,0.0028446439192286806,-0.01690257758810771,-0.016902577588107613,-0.01690257758810771,0.882914790207804,75.85717127425295,balance,false
42.52,0.0004242079277574481,-0.00029484525651614314,-0.000056152504086036104,-0.0006600355325501649,-0.0007124999991097551,0.0027189340825242644,0.0027189340825242644,-0.009414169138661785,-0.009414169138661967,-0.009414169138661785,0.634902504867493,72.50490895794486,balance,false
